TARGET26	-185.713	-1472.808	601.788	0.038	0.018	0.011	0.000
TARGET27	-188.462	502.613	105.962	0.028	0.010	0.010	0.000
TARGET28	-185.635	-1695.054	607.760	0.042	0.021	0.012	0.000
TARGET29	-187.876	-696.326	357.837	0.029	0.010	0.009	0.000
TARGET30	-190.439	296.293	114.978	0.028	0.010	0.011	0.000
TARGET31	-189.668	1299.150	-136.388	0.030	0.013	0.011	0.000
TARGET32	-187.832	-900.380	370.677	0.029	0.011	0.009	0.000
TARGET33	-190.254	1105.356	-129.571	0.029	0.012	0.011	0.000
TARGET34	-190.590	895.558	-121.453	0.029	0.011	0.011	0.000
TARGET35	-189.174	-1284.749	394.835	0.033	0.014	0.010	0.000
TARGET36	-191.968	-317.794	141.992	0.028	0.010	0.010	0.000
TARGET37	-191.966	673.850	-107.582	0.028	0.011	0.011	0.000
TARGET38	-192.335	498.943	-93.985	0.030	0.010	0.011	0.000
TARGET39	-188.972	-1479.798	398.004	0.037	0.018	0.011	0.000
TARGET40	-192.196	-513.946	146.662	0.028	0.010	0.010	0.000
TARGET41	-192.205	-705.493	156.544	0.028	0.010	0.010	0.000
TARGET42	-192.723	1100.440	-331.628	0.029	0.012	0.012	0.000
TARGET43	-191.742	-917.995	171.883	0.029	0.011	0.010	0.000
TARGET44	-193.653	889.253	-331.250	0.029	0.011	0.012	0.000
TARGET45	-191.829	-1104.897	185.571	0.031	0.012	0.010	0.000
TARGET46	-192.128	-1293.334	193.184	0.033	0.014	0.010	0.000
TARGET47	-195.285	494.345	-306.896	0.031	0.010	0.012	0.000
TARGET48	-195.190	-524.665	-52.211	0.028	0.010	0.011	0.000
TARGET49	-191.357	-1485.832	200.187	0.037	0.018	0.012	0.000
TARGET50	-194.305	1295.562	-561.647	0.033	0.016	0.015	0.000
TARGET51	-195.266	-719.005	-45.502	0.028	0.010	0.011	0.000
TARGET52	-195.594	1101.556	-553.420	0.032	0.014	0.014	0.000
TARGET53	-191.447	-1716.799	207.580	0.045	0.025	0.014	0.000
TARGET54	-195.364	-923.846	-28.955	0.029	0.011	0.010	0.000
